,Problem,Link
117,Implement Atoisoon...,https://leetcode.com/problems/string-to-integer-atoi/
118,Count Number of Substringssoon...,https://bit.ly/3CfQfYi
119,Longest Palindromic Substring[Do it without DP]soon...,https://leetcode.com/problems/longest-palindromic-substring/
120,Sum of Beauty of all substringsoon...,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/
121,Reverse Every Word in A Stringsoon...,https://leetcode.com/problems/reverse-words-in-a-string/
122,"Introduction to LinkedList, learn about struct, and how is node represented",https://bit.ly/3URZnst
123,Inserting a node in LinkedList,https://bit.ly/3w9pEIt
124,Deleting a node in LinkedList,https://leetcode.com/problems/delete-node-in-a-linked-list/
125,Find the length of the linkedlist [learn traversal],https://bit.ly/3Po7tpf
126,Search an element in the LL,https://bit.ly/3Epriup
127,"Introduction to DLL, learn about struct, and how is node represented",https://bit.ly/3V9wY1v
128,Insert a node in DLL,https://bit.ly/3QD4hHs
129,Delete a node in DLL,https://bit.ly/3QlEoMx
130,Reverse a DLL,https://bit.ly/3w6hUaa
131,Middle of a LinkedList [TortoiseHare Method],https://leetcode.com/problems/middle-of-the-linked-list/
132,Reverse a LinkedList [Iterative],https://leetcode.com/problems/reverse-linked-list/
133,Reverse a LL [Recursive],https://leetcode.com/problems/reverse-linked-list/
134,Detect a loop in LL,https://leetcode.com/problems/linked-list-cycle/
135,Find the starting point in LL,https://leetcode.com/problems/linked-list-cycle-ii/
136,Length of Loop in LL,https://bit.ly/3dyXL6m
137,Check if LL is palindrome or not,https://leetcode.com/problems/palindrome-linked-list/
138,Segrregate odd and even nodes in LL,https://leetcode.com/problems/odd-even-linked-list/
139,Remove Nth node from the back of the LL,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
140,Delete the middle node of LL,"https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/#:~:text=You%20are%20given%20the%20head,than%20or%20equal%20to%20x%20."
141,Sort LL,https://leetcode.com/problems/sort-list/
142,Sort a LL of 0's 1's and 2's by changing links,https://bit.ly/3Ceotvr
143,Find the intersection point of Y LL,https://leetcode.com/problems/intersection-of-two-linked-lists/
144,Add 1 to a number represented by LL,https://bit.ly/3piCTD3
145,Add 2 numbers in LL,https://leetcode.com/problems/add-two-numbers/
146,Delete all occurrences of a key in DLL,https://bit.ly/3zuBr66
147,Find pairs with given sum in DLL,https://bit.ly/3zWPiBj
148,Remove duplicates from sorted DLL,https://bit.ly/3FtJUtZ
149,Reverse LL in group of given size K,https://leetcode.com/problems/reverse-nodes-in-k-group/
150,Rotate a LL,https://leetcode.com/problems/rotate-list/description/
151,Flattening of LL,https://bit.ly/3w9TKf8
152,Clone a Linked List with random and next pointer,https://leetcode.com/problems/copy-list-with-random-pointer/
153,Recursive Implementation of atoi()soon...,https://leetcode.com/problems/string-to-integer-atoi/
154,"Pow(x, n)",https://leetcode.com/problems/powx-n/
155,Count Good numberssoon...,https://leetcode.com/problems/count-good-numbers/
156,Sort a stack using recursionsoon...,https://bit.ly/3Pu0YBn
157,Reverse a stack using recursionsoon...,https://bit.ly/3podAiY
158,Generate all binary stringssoon...,https://bit.ly/3QJ0vwc
159,Generate Paranthesissoon...,https://leetcode.com/problems/generate-parentheses/
160,Print all subsequences/Power Set,https://leetcode.com/problems/subsets/
161,Learn All Patterns of Subsequences (Theory),https://bit.ly/3US225G
162,Count all subsequences with sum Ksoon...,https://bit.ly/3SVf1me
163,Check if there exists a subsequence with sum Ksoon...,https://www.codingninjas.com/studio/problems/subset-sum_630213?utm_source=striver&amp;utm_medium=website&amp;utm_campaign=a_zcoursetuf
164,Combination Sum,https://leetcode.com/problems/combination-sum/
165,Combination Sum-II,https://leetcode.com/problems/combination-sum-ii/
166,Subset Sum-I,https://bit.ly/3C9GQRS
167,Subset Sum-II,https://leetcode.com/problems/subsets-ii/
168,Combination Sum - IIIsoon...,https://leetcode.com/problems/combination-sum-iii/
169,Letter Combinations of a Phone numbersoon...,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
170,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/
171,Word Search,https://leetcode.com/problems/word-search/
172,N Queen,https://leetcode.com/problems/n-queens/
173,Rat in a Maze,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1
174,Word Breaksoon...,https://leetcode.com/problems/word-break/
175,M Coloring Problem,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1#
176,Sudoko Solver,https://leetcode.com/problems/sudoku-solver/
177,Expression Add Operatorssoon...,https://leetcode.com/problems/expression-add-operators/
178,Introduction to Bit Manipulation [Theory],https://bit.ly/3Eo8JVW
179,Check if the i-th bit is set or not,https://practice.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1
180,Check if a number is odd or not,https://practice.geeksforgeeks.org/problems/odd-or-even3618/1
181,Check if a number is power of 2 or not,https://leetcode.com/problems/power-of-two/
182,Count the number of set bits,https://practice.geeksforgeeks.org/problems/count-total-set-bits-1587115620/1
183,Set/Unset the rightmost unset bit,https://practice.geeksforgeeks.org/problems/set-the-rightmost-unset-bit4436/1
184,Swap two numbers,https://practice.geeksforgeeks.org/problems/swap-two-numbers3844/1
185,"Divide two integers without using multiplication, division and mod operator",https://leetcode.com/problems/divide-two-integers/
186,Count number of bits to be flipped to convert A to B,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/
187,Find the number that appears odd number of times,https://leetcode.com/problems/single-number/
188,Power Set,https://leetcode.com/problems/subsets/
189,Find xor of numbers from L to R,https://bit.ly/3T8xUCf
190,Find the two numbers appearing odd number of times,https://practice.geeksforgeeks.org/problems/two-numbers-with-odd-occurrences5846/1
191,Print Prime Factors of a Number,https://bit.ly/3C165p8
192,All Divisors of a Number,https://practice.geeksforgeeks.org/problems/all-divisors-of-a-number/1?utm_source=youtube&amp;amp;utm_medium=collab_striver_ytdescription&amp;amp;utm_campaign=all-divisors-of-a-number
193,Sieve of Eratosthenes,https://leetcode.com/problems/count-primes/
194,Find Prime Factorisation of a Number using Sieve,https://bit.ly/3SPGzbK
195,"Power(n, x)",https://leetcode.com/problems/powx-n/
196,Implement Stack using Arrays,https://bit.ly/3QPJ39w
197,Implement Queue using Arrays,https://bit.ly/3C9HLli
198,Implement Stack using Queue,https://leetcode.com/problems/implement-stack-using-queues/
199,Implement Queue using Stack,https://leetcode.com/problems/implement-queue-using-stacks/
200,Implement stack using Linkedlist,https://bit.ly/3w6PwVv
201,Implement queue using Linkedlist,https://bit.ly/3PA7mY0
202,Check for balanced paranthesis,https://leetcode.com/problems/valid-parentheses/
203,Implement Min Stack,https://leetcode.com/problems/min-stack/
204,Infix to Postfix Conversion using Stack,https://bit.ly/3JWYj1P
205,Prefix to Infix Conversionsoon...,https://bit.ly/3FwxK3j
206,Prefix to Postfix Conversionsoon...,https://bit.ly/3DrwCLI
207,Postfix to Prefix Conversionsoon...,https://bit.ly/3UaWJxk
208,Postfix to Infixsoon...,https://bit.ly/3sNZ1a2
209,Convert Infix To Prefix Notation,https://bit.ly/3T0gZ4P
210,Next Greater Element,https://leetcode.com/problems/next-greater-element-i/
211,Next Greater Element 2soon...,https://leetcode.com/problems/next-greater-element-ii/
212,Next Smaller Elementsoon...,https://www.interviewbit.com/problems/nearest-smaller-element/
213,Number of NGEs to the rightsoon...,https://bit.ly/3Np2R2H
214,Trapping Rainwater,https://leetcode.com/problems/trapping-rain-water/
215,Sum of subarray minimumsoon...,https://leetcode.com/problems/sum-of-subarray-minimums/
216,Asteroid Collisionsoon...,https://leetcode.com/problems/asteroid-collision/
217,Sum of subarray rangessoon...,https://leetcode.com/problems/sum-of-subarray-ranges/
218,Remove k Digitssoon...,https://leetcode.com/problems/remove-k-digits/
219,Largest rectangle in a histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/
220,Maximal Rectanglessoon...,https://leetcode.com/problems/maximal-rectangle/
221,Sliding Window maximum,https://leetcode.com/problems/sliding-window-maximum/
222,Stock span problemsoon...,https://leetcode.com/problems/online-stock-span/
223,The Celebrity Problemsoon...,https://leetcode.com/accounts/login/?next=/problems/find-the-celebrity/
224,LRU cache (IMPORTANT),https://leetcode.com/problems/lru-cache/
225,LFU cache,https://leetcode.com/problems/lfu-cache/
226,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/
227,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/
228,Fruit Into Baskets,https://bit.ly/3D6d94w
229,longest repeating character replacement,https://leetcode.com/problems/longest-repeating-character-replacement/
230,Binary subarray with sum,https://leetcode.com/problems/binary-subarrays-with-sum/
231,Count number of nice subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays/
232,Number of substring containing all three characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/
233,Maximum point you can obtain from cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/
234,Longest Substring with At Most K Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/
235,Subarray with k different integers,https://leetcode.com/problems/subarrays-with-k-different-integers/
236,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/
237,Minimum Window Subsequencesoon...,https://leetcode.com/problems/minimum-window-subsequence/
238,Introduction to Priority Queues using Binary Heapssoon...,https://bit.ly/3TSxAHd
239,Min Heap and Max Heap Implementationsoon...,https://bit.ly/3weGgP3
240,Check if an array represents a min-heap or notsoon...,https://bit.ly/3AbFrrI
